stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
NLIC,2024-06-23,531.82,840.91,1.581,5.0,30
NMFBS,2020-12-10,666.34,1003.6,1.506,5.0,30
NRIC,2020-10-07,650.42,997.6,1.534,5.0,30
NRIC,2024-06-25,644.0,992.2,1.541,5.0,30
NRIC,2025-01-06,764.0,1152.9,1.509,5.0,30
NRN,2021-03-01,349.21,533.33,1.527,4.8,30
NRN,2021-07-06,544.22,870.75,1.6,4.8,30
NRN,2021-12-16,482.54,742.86,1.539,4.8,30
NRN,2023-11-29,373.33,565.9,1.516,4.8,30
NRN,2024-06-18,599.05,941.9,1.572,4.8,30
NRN,2024-12-26,945.0,1419.0,1.502,4.8,30
NRN,2025-03-19,1404.0,2113.21,1.505,4.8,30
NTC,2020-10-06,589.17,910.83,1.546,5.0,30
NYADI,2023-11-08,197.0,295.8,1.502,3.6,30
NYADI,2024-11-20,343.3,533.0,1.553,3.6,30
OHL,2021-05-20,438.1,695.24,1.587,5.0,30
OHL,2024-06-23,713.43,1133.24,1.588,5.0,30
PCBL,2024-06-19,197.6,300.0,1.518,5.0,30
PFL,2020-12-14,165.22,265.13,1.605,5.0,30
PFL,2021-04-22,272.25,435.95,1.601,5.0,30
PFL,2021-07-07,507.12,770.48,1.519,5.0,30
PFL,2021-12-20,386.13,591.25,1.531,5.0,30
PFL,2022-06-23,285.58,439.42,1.539,5.0,30
PFL,2024-03-05,358.1,565.4,1.579,5.0,30
PHCL,2024-09-10,348.0,544.0,1.563,2.5,30
PMHPL,2021-04-04,188.0,284.0,1.511,5.0,30
PMHPL,2021-06-29,280.0,421.6,1.506,5.0,30
PMHPL,2022-12-21,176.2,266.2,1.511,5.0,30
PMLI,2022-06-23,289.56,437.71,1.512,4.5,30
PMLI,2023-05-10,339.4,534.51,1.575,4.5,30
PPCL,2021-06-24,355.0,534.0,1.504,5.0,30
PPL,2023-11-29,175.33,267.33,1.525,2.7,30
